# Exported with SCiLS Lab Version 9.00.12376
# Export time: 2022-10-01 23:55:52
# Generated from file: Y:\Ellin\2020\Comp Project\SCiLS Files\04-17-2019_MB_Imaging_raw_data.slx
# Object Full Name: PCA_04-17-2019_MB_Imaging_raw_data
# Object ID: f523de61-e6db-4078-9bca-0461dc8e5cd8
# Object type: PCA
# Object creation time: 2021-03-17 17:47:10
#
Spot index;Coefficient 1;Coefficient 2;Coefficient 3;Coefficient 4;Coefficient 5
126;44447920.163206;-6613479.1556257;-8592522.02073581;-7591119.95633341;28691198.4401726
127;32526996.0627563;-9459035.9402168;-13452225.4203112;-15694517.6400729;25872164.5526753
128;37626352.1956888;-8538261.08418252;-13426429.7413899;-11088956.85409;26680517.7708166
129;64306805.5705708;-8055023.85106356;-8842555.49852152;-11019713.0603459;27666419.6105126
130;-44497475.1140625;-10101640.8222048;-20885646.1228662;-12699694.4884279;23527751.7616123
131;25864774.8552293;-10346842.847789;-20619885.7160322;-13788953.3604343;25704705.4607116
132;-7439970.05741362;-21748345.2402269;-30649439.8270466;-2983413.9960816;2497595.36161425
133;35703763.6696942;-24059284.9568121;-25532158.3508356;-6876734.19173057;4542671.08899787
134;48000679.2377655;-23551878.3899403;-18308770.9464214;-9440262.22209208;8991110.39547565
135;33190373.311922;-20281926.3995079;-18108863.744347;-12139473.8651682;8224390.24450705
136;42796553.1649171;-18815198.7444304;-14627220.3836779;-7848817.21206085;7927715.81212533
137;35436644.6851507;-20494744.1894584;-16399296.9380811;-7307220.13067588;3835785.62713256
138;34388639.2777443;-20312071.8933535;-14506017.3543902;-1494638.5056601;2161313.98186915
139;9684293.194776;-20825024.3704509;-23288823.0351793;-7208332.50832866;2053088.83631695
140;26978972.4692077;-24127628.1164953;-20947279.0560178;5138.27680920501;2782522.87170849
141;37014409.8866166;-21959107.2202121;-20350651.0487969;-5123591.27236407;-475730.806058857
142;40295887.4957956;-20909822.4635283;-19747629.5911085;-5093909.51294462;-900609.205323005
143;44512596.9650197;-18789951.483623;-15397387.7696544;-6450812.9781097;-319408.724893086
144;34319156.9933214;-19109086.5055803;-15786027.2979549;-4022989.93950202;772762.463395301
145;13328306.8489263;-17354230.2884151;-17351846.9762695;-6020285.21714033;1611836.78774303
146;10509779.4924689;-16993395.3996341;-12551912.7917257;-1617626.93099279;323329.656037323
147;27950675.4141223;-14695191.1826758;-6868042.09893464;-7505106.91148081;-427659.800602285
148;854364.091859386;-11449295.8662786;-9128789.62032456;-1829555.14229157;3253522.86638837
149;18713151.9338028;-12270134.4351179;-6698803.45811711;-5578953.72276211;2675712.32792679
150;-2229945.87433052;-10778362.4952878;-6328989.61526677;-2842554.40794088;2868721.06274301
151;-12971536.6484466;-10393389.6606254;-10454928.5678807;-4503744.72986685;4074410.89768348
152;-4723421.38750476;-12067520.5227685;-7924689.48006015;-4154995.84317993;2573532.42558517
153;11942422.0753224;-12519271.479797;-9864680.8403687;-8771811.41746404;4297789.32000909
154;-2560574.26167631;-10948952.0637155;-8227795.58043841;-3232424.99914529;4456295.99702963
155;-17069228.236529;-10948775.2209064;-7194102.9544999;-6668287.14581797;2862683.35234495
156;23284541.8187855;-11205248.5534929;-7334607.05223154;-4052586.3878255;7353022.47118838
157;9644066.27105873;-10619745.1495463;-8045708.56629428;-2623954.97528664;8283696.18767441
158;17986795.8259217;-13449121.7796598;-6331315.75689527;-6895500.97695994;4935000.36649209
159;30095919.9891719;-10477831.0225708;-4846124.74255622;-4799498.96768552;5342522.12667155
160;17313107.740567;-11867553.456423;-3324142.60746063;-6392415.16273405;6282840.77383023
161;-23872825.7107399;-6207532.7431038;-1440910.66344266;-5984053.30685055;8079153.0825139
162;29861512.8784648;-2653148.86821928;2962041.64914458;-9365634.87178534;15467634.6326437
163;10131618.1337212;-1275720.92748072;459550.328601547;-10963271.9489391;22020549.060656
164;15118199.388479;-1173162.08257919;-641499.427382568;-10646380.5948881;23301868.0169071
165;12844402.4076088;6677423.11436358;-238097.433428393;-6343423.75188077;25756015.3860212
166;19966379.0839946;4323032.96472808;45545.7168865709;-10053464.7598716;30593435.980268
167;27884664.2758375;4031129.37730975;1995253.12759332;-8765006.270509;28384689.4461711
168;29090226.4704011;787246.544109296;-5913960.74261023;-9426268.02155302;31229455.3425823
169;39959731.3387342;2047314.3607737;147712.405955427;-9407824.19006172;31128519.8254447
170;41368803.5579991;-808337.907722514;-4069831.72628618;-12497184.5938284;30415172.4775829
171;26816827.8509723;-2429121.6656348;-8455207.91926083;-10860534.8270652;30229848.7612115
172;56056705.1693201;-3534680.81793379;-8871530.77165475;-12643930.3199776;31320113.0486095
173;-15874821.5921384;-7385993.4172373;-15026321.562636;-9154086.31987425;24727480.7067595
174;42721174.5538637;-7843045.92251869;-18233683.8196823;-11431528.5536357;29176892.7901124
175;-71168493.3213635;-9579885.1791904;-22586331.1296307;-4108481.65427234;22311185.2098255
176;-230482669.106507;-6953719.08672945;-27109194.9239481;8230846.56125345;13620230.7881827
177;16773569.7787607;-14213604.7336893;-19564213.1219071;-2365327.76332448;-1547309.53179077
178;18248620.9794961;-23671626.279189;-29468232.5017264;-4453840.61977004;-2353676.26048889
179;33579717.1421499;-23606114.3186134;-25680212.4863501;-7487905.82136123;1907583.61000396
180;54116652.4738286;-23374514.5340039;-19236639.5128635;-11047240.2976817;5587556.65328595
181;15454762.0199008;-19667568.1789014;-18953584.4553987;-11483157.8110466;6442925.17409252
182;19881743.2423261;-21611962.92732;-19477056.0453413;-5883880.65197449;5438435.8788003
